,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
124,Zion Williamson,NOP,20,61,29,32,33.2,113.9,111.7,2.1,18.8,1.35,13.7,8.1,13.1,10.6,10.1,61.6,64.9,28.7,103.3,16.1,4358
140,Bradley Beal,WAS,28,60,32,28,35.8,114.4,114.8,-0.4,20.2,1.42,13.2,3.3,9.4,6.4,9.3,53.2,59.3,33.1,105.21,14.5,4713
140,Cameron Johnson,PHX,25,60,43,17,24,112.2,106.5,5.7,8.3,2.15,13.6,2.3,11.8,7,6.3,54.1,56.3,16.4,98.76,8.1,2958
140,Cameron Payne,PHX,26,60,42,18,18,116.4,108.6,7.8,28.1,3.62,31.1,1.6,11.9,6.9,8.6,57.6,60.2,19.3,99.23,11.7,2233
140,Chris Boucher,TOR,28,60,25,35,24.2,114.4,110.7,3.8,6.8,1.37,8.4,7.8,19.2,13.5,6.1,59.5,63.4,20.2,100.04,13.2,3020
140,Collin Sexton,CLE,22,60,18,42,35.3,104.8,114,-9.2,22.2,1.57,15.5,2.7,6.3,4.4,9.9,51.9,57.3,28.6,99.26,11.5,4386
140,Dorian Finney-Smith,DAL,28,60,36,24,32,117.2,112.1,5.1,7,2.13,16.1,5.2,11.6,8.4,7.6,60,60.9,12,98.37,7.4,3935
140,Jae Crowder,PHX,30,60,42,18,27.5,114.3,107.9,6.3,10.2,2.31,18.1,2,14.6,8.5,7.8,55.5,57.4,15.2,100,8.1,3434
140,Jaxson Hayes,NOP,21,60,24,36,16.1,104.6,105.5,-0.9,5.7,0.9,8.6,8.7,16.1,12.4,9.6,63.6,67.5,15.6,103.55,12.3,2078
140,Jevon Carter,PHX,25,60,42,18,11.9,110.9,107.6,3.3,13.6,4.44,22.8,2.2,10.7,6.3,5.1,54.7,54.8,14.6,99.79,7.5,1482
140,Lonnie Walker IV,SAS,22,60,28,32,25.4,109.4,115.7,-6.3,9.5,1.55,12.6,0.9,9.3,5,8.1,50.2,52.3,19.9,100.05,6.3,3168
140,Mychal Mulder,GSW,27,60,33,27,12.8,111.3,108.4,2.9,4.7,1.63,8.2,1,6.2,3.7,5,60.9,61.3,15.7,105.81,6.2,1695
151,Brandon Clarke,MEM,24,59,32,27,24,109.5,109.3,0.2,9.4,2.88,14.3,6.4,16,11.1,5,53.7,56,16.7,101.99,11,2996
151,Cedi Osman,CLE,26,59,17,42,25.6,103.3,114.2,-11,17.3,2.17,19.8,2.4,11.3,6.7,9.1,45.8,48.8,19.8,99,7.3,3124
151,Josh Okogie,MIN,22,59,21,38,20.3,107.7,114.3,-6.6,7.2,1.47,15.5,4.8,7.9,6.3,10.6,45.9,52.4,11.9,102.94,4.5,2556
151,Josh Richardson,DAL,27,59,35,24,30.3,113.5,113.7,-0.2,12.3,1.94,17.1,2.8,7.9,5.4,8.8,49.8,53.7,18.1,98.27,7.3,3647
151,Jrue Holiday,MIL,31,59,41,18,32.3,117.9,108.8,9.2,25.3,2.81,26.2,3.7,9.3,6.6,9.3,57,59.2,21.7,103.99,12.4,4131
151,Xavier Tillman,MEM,22,59,31,28,18.4,109.5,106.6,2.9,9.6,1.67,17.1,6.5,16.3,11.3,10.3,59.5,60.5,14.2,101.41,9.5,2276
157,Alex Caruso,LAL,27,58,32,26,21,107.2,101.7,5.5,19,2.11,27.9,2.5,11.4,6.9,13.2,52.6,54.7,14.4,100.29,8.4,2532
157,Ben Simmons,PHI,24,58,42,16,32.4,113.9,106,8,30.8,2.32,31.2,5.1,16.6,11.1,13.5,56,58.4,20,101.44,12.8,3973
157,De'Aaron Fox,SAC,23,58,24,34,35.1,113.5,118,-4.5,32.6,2.4,22.2,1.6,8.5,5,9.3,52.3,56.5,30.4,101.86,12.4,4320
157,Derrick Jones Jr.,POR,24,58,32,26,22.7,113.3,114,-0.8,4.9,1.47,11.1,5.5,9.4,7.4,7.6,55.4,57.6,12.2,99.5,5.8,2713
157,Dwight Powell,DAL,29,58,36,22,16.6,112.8,108.8,4,9,1.58,17.8,8.6,15.8,12.3,11.3,63.1,68.8,12.9,99.87,9.9,2007
157,Gary Trent Jr.,TOR,22,58,29,29,31.1,113.9,115.7,-1.8,6.7,1.86,8.4,1.4,6.9,4,4.5,51.3,53.4,20.4,99.82,7.1,3752
157,Harrison Barnes,SAC,29,58,25,33,36.2,114.4,116.2,-1.8,12.8,2.16,19.4,3.1,15.2,9.2,9,57.5,62.6,16.9,101.16,10.7,4440
157,JaMychal Green,DEN,31,58,38,20,19.3,111.8,107.6,4.1,7,1,10.5,7.2,17.7,12.2,10.5,56.8,59,17.2,97.77,8.8,2283
157,Jaylen Brown,BOS,24,58,30,28,34.5,113.5,111.8,1.8,16.2,1.23,12.4,3.5,13.6,8.5,10.1,55.8,58.6,29,100.17,12.9,4169
157,Steven Adams,NOP,27,58,26,32,27.7,114.9,115,-0.1,8.8,1.42,19.8,13.2,18.7,16,13.9,61.4,59.6,11.8,99.08,9,3320
157,Timothe Luwawu-Cabarrot,BKN,26,58,38,20,18.1,112.5,112.9,-0.4,8.8,1.6,14.2,2.6,9.2,5.9,8.8,47.1,49.3,16.5,103.06,4.7,2247
157,Tomas Satoransky,CHI,29,58,25,33,22.5,109.4,110.1,-0.8,27.8,2.82,37.3,2.4,8.7,5.5,13.2,57.8,61.4,15,99.25,9.6,2711
157,Tyrese Haliburton,SAC,21,58,25,33,30.1,110.8,116.4,-5.6,24.7,3.36,29.7,2.2,7.6,4.9,8.8,56.9,58.5,17.5,102.31,10.4,3733
157,Wesley Matthews,LAL,34,58,33,25,19.5,106.9,105,1.9,6.5,2.08,15.7,1.8,6.4,4.1,7.5,48.4,51.7,11.1,99.34,4.4,2335
157,Zach LaVine,CHI,26,58,26,32,35.1,112.4,113.1,-0.8,22.5,1.39,16.3,1.8,12.1,7.1,11.7,59.6,63.4,30.2,101.34,14,4304
172,D.J. Augustin,HOU,33,57,28,29,19.8,112.7,114.5,-1.8,22.3,2.89,29.7,1.7,6.3,4,10.3,51.5,57,16.4,101.99,7.9,2401
172,Damion Lee,GSW,28,57,28,29,18.9,109.7,108.2,1.6,9.4,2.43,18.5,2,14.2,8.1,7.6,60.8,63.6,12.7,103.21,8.8,2322
172,Davis Bertans,WAS,28,57,29,28,25.7,112.8,110.8,2.1,4.3,1.48,8.2,1.1,9.5,5.3,5.5,58.1,62,14.8,106.56,6.9,3269
172,DeAndre Jordan,BKN,32,57,37,20,21.9,113,114.8,-1.9,9.9,1.09,19.9,9.7,23.1,16.8,18.2,76.3,73.6,12.8,101.05,11.2,2626
172,Marcus Morris Sr.,LAC,31,57,38,19,26.3,117.4,113.1,4.2,5.6,1.02,7.9,2.5,13.3,8,7.8,59.2,61.4,19.4,98.69,9.1,3089
172,Rui Hachimura,WAS,23,57,29,28,31.5,109.5,112.4,-2.8,6.2,1.21,9.4,2.6,13.9,8.3,7.8,51.3,54.9,18,105.48,8.2,3950
172,Seth Curry,PHI,30,57,39,18,28.7,114.7,106.5,8.2,13.1,2.38,19.4,0.6,7.4,4.2,8.1,58.2,60.7,16.9,100.4,8.4,3444
172,Thanasis Antetokounmpo,MIL,28,57,37,20,9.7,107.1,104.6,2.5,11.3,1.07,18.6,9.3,11.3,10.3,17.4,51.5,52.3,14.7,106.62,5.5,1204
